name,gender,start year,end year
Hastings Kamuzu Banda,Male,1966,1994
Bakili Muluzi,Male,1994,2004
Bingu wa Mutharika,Male,2004,2012
Joyce Banda,Female,2012,2014
Peter Mutharika,Male,2014,2020
Lazarus Chakwera,Male,2020,2022
