name,gender,start year,end year
Mariano Sabino Lopes,Male,2007,2007
Estanislau da Silva,Male,2007,2007
Xanana Gusmão,Male,2007,2015
Rui Maria de Araújo,Male,2015,2017
Mari Alkatiri,Male,2017,2018
Taur Matan Ruak,Male,2018,2020
Francisco Guterres,Male,2020,2022
