name,gender,start year,end year
Julius Nyerere,Male,1964,1985
Ali Hassan Mwinyi,Male,1985,1995
Benjamin Mkapa,Male,1995,2005
Jakaya Kikwete,Male,2005,2015
John Magufuli,Male,2015,2021
Samia Suluhu,Female,2021,2022
