name,gender,start year,end year
Makarios III,Male,1960,1977
Spyros Kyprianou,Male,1977,1988
George Vasiliou,Male,1988,1993
Glafcos Clerides,Male,1993,2003
Tassos Papadopoulos,Male,2003,2008
Demetris Christofias,Male,2008,2013
Nicos Anastasiades,Male,2013,2022
