name,gender,start year,end year
Ahmed Ben Bella,Male,1963,1965
Houari Boumediene,Male,1965,1978
Rabah Bitat,Male,1978,1979
Chadli Bendjedid,Male,1979,1992
Mohamed Boudiaf,Male,1992,1992
Ali Kafi,Male,1992,1994
Liamine Zéroual,Male,1994,1999
Abdelaziz Bouteflika,Male,1999,2019
Abdelkader Bensalah,Male,2019,2019
Abdelmadjid Tebboune,Male,2019,2022
