name,gender,start year,end year
Phạm Văn Đồng,Male,1955,1987
Võ Văn Kiệt,Male,1991,1997
Phan Văn Khải,Male,1997,2006
Nguyễn Tấn Dũng,Male,2006,2016
Nguyễn Xuân Phúc,Male,2016,2021
Phạm Minh Chính,Male,2021,2022
