name,gender,start year,end year
Mohamed Naguib,Male,1953,1954
Gamal Abdel Nasser,Male,1954,1970
Anwar Sadat,Male,1970,1981
Hosni Mubarak,Male,1981,2011
Mohamed Hussein Tantawi,Male,2011,2012
Mohamed Morsi,Male,2012,2013
Adly Mansour,Male,2013,2014
Abdel Fattah el-Sisi,Male,2014,2022
