name,gender,start year,end year
Modibo Keïta,Male,1960,1968
Moussa Traoré,Male,1968,1991
Amadou Toumani Touré,Male,1991,1992
Alpha Oumar Konaré,Male,1992,2002
Amadou Toumani Touré,Male,2002,2012
Dioncounda Traoré,Male,2012,2013
Ibrahim Boubacar Keïta,Male,2013,2020
Bah Ndaw,Male,2020,2021
Assimi Goïta,Male,2021,2022
